# Longitude (deg), Latitude (deg), Distance Along Fault (km), Distance Along Fault (m), Scarp Height (m), Scarp Height Std (m), Upper Slope Angle (deg), upper slope std, Lower Slope Angle (deg), lower_slope_std, Filtered Median offset (1km), filtered standard deviation (1km), Filtered Median offset (3km), filtered standard deviation (3km), Filtered Median offset (5km), filtered standard deviation (5km)
31.89,-11.73,12.90,12899.00,,,,,,,14.43,5.66,14.22,6.61,14.22,6.61
31.89,-11.73,13.02,13019.00,9.26,0.12,8.26,0.05,8.01,8.01,14.43,5.66,14.22,6.61,14.22,6.61
31.89,-11.73,13.14,13139.00,14.02,0.22,8.81,0.02,3.10,3.10,14.22,3.10,14.02,6.47,14.22,6.61
31.89,-11.73,13.26,13259.00,,,,,,,14.02,3.57,14.22,6.78,14.22,6.61
31.89,-11.74,13.38,13379.00,,,,,,,11.64,2.38,14.22,6.78,14.22,6.61
31.89,-11.74,13.50,13499.00,,,,,,,11.64,2.38,14.22,6.78,14.22,6.61
31.89,-11.74,13.62,13619.00,,,,,,,14.02,0.00,14.22,6.78,14.22,6.61
31.89,-11.74,13.74,13739.00,,,,,,,,,14.22,6.78,14.22,6.61
31.89,-11.74,13.86,13859.00,,,,,,,4.61,0.00,14.22,6.78,14.02,6.78
31.88,-11.74,13.98,13979.00,,,,,,,4.61,0.00,14.22,6.78,14.02,6.78
31.88,-11.74,14.10,14099.00,,,,,,,4.61,0.00,14.02,4.65,12.00,6.55
31.88,-11.74,14.22,14219.00,,,,,,,4.61,0.00,11.64,5.02,14.02,6.90
31.88,-11.74,14.34,14339.00,4.61,0.05,-0.01,0.02,0.88,0.88,4.61,0.00,9.26,3.84,14.02,6.90
31.88,-11.74,14.46,14459.00,,,,,,,4.61,0.00,9.26,3.84,14.02,6.90
31.88,-11.74,14.58,14579.00,,,,,,,4.61,0.00,9.31,4.70,14.02,6.90
31.88,-11.75,14.70,14699.00,,,,,,,4.61,0.00,4.61,0.00,14.02,6.90
31.88,-11.75,14.82,14819.00,,,,,,,4.61,0.00,5.43,0.81,14.02,6.90
31.88,-11.75,14.94,14939.00,,,,,,,,,5.43,0.81,14.02,6.90
31.88,-11.75,15.06,15059.00,,,,,,,,,5.43,0.81,11.64,4.76
31.88,-11.75,15.18,15179.00,,,,,,,,,5.43,0.81,9.26,4.96
31.88,-11.75,15.30,15299.00,,,,,,,,,5.43,0.81,7.75,3.58
31.88,-11.75,15.42,15419.00,,,,,,,,,5.43,0.81,7.75,3.58
31.88,-11.75,15.54,15539.00,,,,,,,,,5.43,0.81,6.24,4.10
31.88,-11.75,15.66,15659.00,,,,,,,,,5.43,0.81,5.43,0.81
31.88,-11.75,15.78,15779.00,,,,,,,6.24,0.00,5.43,0.81,6.24,2.45
31.87,-11.75,15.90,15899.00,,,,,,,6.24,0.00,6.24,0.00,6.24,2.45
31.87,-11.76,16.02,16019.00,,,,,,,6.24,0.00,6.24,0.00,6.24,2.45
31.87,-11.76,16.14,16139.00,,,,,,,6.24,0.00,6.24,0.00,6.24,2.45
31.87,-11.76,16.26,16259.00,6.24,0.17,0.52,0.07,3.11,3.11,6.24,0.00,6.24,0.00,6.24,2.45
31.87,-11.76,16.38,16379.00,,,,,,,6.24,0.00,6.24,0.00,6.24,2.45
31.87,-11.76,16.50,16499.00,,,,,,,6.24,0.00,6.24,0.00,6.24,2.45
31.87,-11.76,16.62,16619.00,,,,,,,6.24,0.00,6.24,0.00,6.24,2.45
31.87,-11.76,16.74,16739.00,,,,,,,6.24,0.00,8.33,2.09,6.24,2.45
31.87,-11.76,16.86,16859.00,,,,,,,,,8.33,2.09,8.33,2.09
31.87,-11.76,16.98,16979.00,,,,,,,,,8.33,2.09,8.33,2.09
31.87,-11.76,17.10,17099.00,,,,,,,,,8.33,2.09,8.33,2.09
31.87,-11.76,17.22,17219.00,,,,,,,,,8.33,2.09,8.33,2.09
31.87,-11.77,17.34,17339.00,,,,,,,,,8.33,2.09,8.33,2.09
31.87,-11.77,17.46,17459.00,,,,,,,,,8.33,2.09,8.33,2.09
31.87,-11.77,17.58,17579.00,,,,,,,,,8.33,2.09,8.33,2.09
31.87,-11.77,17.70,17699.00,,,,,,,10.42,0.00,8.33,2.09,8.33,2.09
31.86,-11.77,17.82,17819.00,,,,,,,10.42,0.00,10.42,0.00,8.33,2.09
31.86,-11.77,17.94,17939.00,,,,,,,10.42,0.00,10.42,0.00,8.33,2.09
31.86,-11.77,18.06,18059.00,,,,,,,10.42,0.00,10.42,0.00,7.32,1.77
31.86,-11.77,18.18,18179.00,10.42,0.11,9.81,0.04,9.15,9.15,10.42,0.00,10.42,0.00,7.32,1.77
31.86,-11.77,18.30,18299.00,,,,,,,10.42,0.00,10.42,0.00,7.32,1.77
31.86,-11.77,18.42,18419.00,,,,,,,10.42,0.00,10.42,0.00,8.87,2.34
31.86,-11.77,18.54,18539.00,,,,,,,10.42,0.00,10.42,0.00,8.87,2.34
31.86,-11.78,18.66,18659.00,,,,,,,10.42,0.00,10.42,0.00,8.87,2.34
31.86,-11.78,18.78,18779.00,,,,,,,,,10.42,0.00,10.42,1.97
31.86,-11.78,18.90,18899.00,,,,,,,,,10.42,0.00,10.42,1.97
31.86,-11.78,19.02,19019.00,,,,,,,,,8.87,1.55,10.42,1.97
31.86,-11.78,19.14,19139.00,,,,,,,,,8.87,1.55,10.42,1.97
31.86,-11.78,19.26,19259.00,,,,,,,,,8.87,1.55,10.42,1.97
31.86,-11.78,19.38,19379.00,,,,,,,,,10.42,1.97,10.42,1.97
31.86,-11.78,19.50,19499.00,,,,,,,,,10.42,1.97,10.42,1.97
31.86,-11.78,19.62,19619.00,,,,,,,,,10.42,1.97,10.42,1.97
31.86,-11.78,19.74,19739.00,,,,,,,,,9.69,2.37,10.42,1.97
31.85,-11.78,19.86,19859.00,,,,,,,,,9.69,2.37,10.42,1.97
31.85,-11.78,19.98,19979.00,,,,,,,7.32,0.00,9.69,2.37,10.42,1.97
31.85,-11.79,20.10,20099.00,,,,,,,7.32,0.00,9.69,2.37,10.42,1.97
31.85,-11.79,20.22,20219.00,,,,,,,7.32,0.00,9.69,2.37,10.42,1.97
31.85,-11.79,20.34,20339.00,,,,,,,9.69,2.37,9.69,2.37,10.42,1.97
31.85,-11.79,20.46,20459.00,7.32,0.11,2.45,0.15,0.32,0.32,9.69,2.37,9.69,2.37,10.42,1.97
31.85,-11.79,20.58,20579.00,,,,,,,9.69,2.37,9.69,2.37,11.24,1.98
31.85,-11.79,20.70,20699.00,,,,,,,9.69,2.37,9.69,2.37,12.06,2.29
31.85,-11.79,20.82,20819.00,12.06,0.13,8.10,0.03,5.97,5.97,9.69,2.37,9.69,2.37,12.17,2.90
31.85,-11.79,20.94,20939.00,,,,,,,9.69,2.37,9.69,2.37,12.17,2.90
31.85,-11.79,21.06,21059.00,,,,,,,12.06,0.00,9.69,2.37,12.17,2.90
31.85,-11.79,21.18,21179.00,,,,,,,12.06,0.00,9.69,2.37,12.17,2.90
31.85,-11.79,21.30,21299.00,,,,,,,12.06,0.00,9.69,2.37,12.17,2.90
31.84,-11.79,21.42,21419.00,,,,,,,,,9.69,2.37,12.17,2.90
31.84,-11.79,21.54,21539.00,,,,,,,,,12.06,2.29,12.17,2.90
31.84,-11.80,21.66,21659.00,,,,,,,,,12.06,2.29,12.17,2.90
31.84,-11.80,21.78,21779.00,,,,,,,,,12.17,2.90,12.17,2.90
31.84,-11.80,21.90,21899.00,,,,,,,,,12.17,2.90,12.17,2.90
31.84,-11.80,22.02,22019.00,,,,,,,,,12.27,1.54,12.17,2.90
31.84,-11.80,22.14,22139.00,,,,,,,,,12.27,1.54,12.17,2.90
31.84,-11.80,22.26,22259.00,,,,,,,,,12.27,1.54,12.17,2.90
31.84,-11.80,22.38,22379.00,,,,,,,,,13.85,1.59,12.17,2.90
31.84,-11.80,22.50,22499.00,,,,,,,12.27,0.00,13.85,1.59,12.17,2.90
31.84,-11.80,22.62,22619.00,,,,,,,12.27,0.00,13.85,1.59,12.17,2.90
31.84,-11.80,22.74,22739.00,,,,,,,13.85,1.59,13.85,1.59,12.17,2.90
31.83,-11.80,22.86,22859.00,,,,,,,13.85,1.59,13.85,1.59,12.17,2.90
31.83,-11.80,22.98,22979.00,12.27,0.24,10.91,0.04,6.94,6.94,13.85,1.59,13.85,1.59,12.27,1.54
31.83,-11.80,23.10,23099.00,,,,,,,13.85,1.59,13.85,1.59,12.27,1.54
31.83,-11.81,23.22,23219.00,15.44,0.17,10.76,0.01,15.21,15.21,13.85,1.59,13.85,1.59,12.27,1.54
31.83,-11.81,23.34,23339.00,,,,,,,13.85,1.59,13.85,1.59,12.27,3.52
31.83,-11.81,23.46,23459.00,,,,,,,13.85,1.59,13.85,1.59,12.27,3.52
31.83,-11.81,23.58,23579.00,,,,,,,15.44,0.00,13.85,1.59,12.27,3.52
31.83,-11.81,23.70,23699.00,,,,,,,15.44,0.00,13.85,1.59,12.27,3.52
31.83,-11.81,23.82,23819.00,,,,,,,,,13.85,1.59,12.27,3.52
31.83,-11.81,23.94,23939.00,,,,,,,,,13.85,1.59,12.27,3.52
31.83,-11.81,24.06,24059.00,,,,,,,,,13.85,1.59,12.27,3.52
31.83,-11.81,24.18,24179.00,,,,,,,,,13.85,1.59,12.27,3.52
31.83,-11.81,24.30,24299.00,,,,,,,,,12.27,3.52,12.27,3.52
31.82,-11.81,24.42,24419.00,,,,,,,,,12.27,3.52,12.27,3.52
31.82,-11.81,24.54,24539.00,,,,,,,,,11.17,4.26,12.27,3.52
31.82,-11.81,24.66,24659.00,,,,,,,,,11.17,4.26,12.27,3.52
31.82,-11.82,24.78,24779.00,,,,,,,,,6.91,0.00,12.27,3.52
31.82,-11.82,24.90,24899.00,,,,,,,,,6.91,0.00,12.27,3.52
31.82,-11.82,25.02,25019.00,,,,,,,,,6.91,0.00,12.27,3.52
31.82,-11.82,25.14,25139.00,,,,,,,,,6.91,0.00,12.27,3.52
31.82,-11.82,25.26,25259.00,,,,,,,6.91,0.00,6.91,0.00,12.27,3.52
31.82,-11.82,25.38,25379.00,,,,,,,6.91,0.00,6.91,0.00,12.27,3.52
31.82,-11.82,25.50,25499.00,,,,,,,6.91,0.00,6.91,0.00,11.17,4.26
31.82,-11.82,25.62,25619.00,,,,,,,6.91,0.00,6.91,0.00,11.17,4.26
31.82,-11.82,25.74,25739.00,6.91,0.19,3.18,0.27,8.55,8.55,6.91,0.00,6.91,0.00,6.91,0.00
31.81,-11.82,25.86,25859.00,,,,,,,6.91,0.00,6.91,0.00,6.91,0.00
31.81,-11.82,25.98,25979.00,,,,,,,6.91,0.00,6.91,0.00,6.91,0.00
31.81,-11.82,26.10,26099.00,,,,,,,6.91,0.00,6.91,0.00,6.91,0.00
31.81,-11.82,26.22,26219.00,,,,,,,6.91,0.00,6.91,0.00,6.91,0.00
31.81,-11.82,26.34,26339.00,,,,,,,,,6.91,0.00,6.91,0.00
31.81,-11.83,26.46,26459.00,,,,,,,,,6.91,0.00,6.91,0.00
31.81,-11.83,26.58,26579.00,,,,,,,,,6.91,0.00,6.91,0.00
31.81,-11.83,26.70,26699.00,,,,,,,,,6.91,0.00,13.59,6.68
31.81,-11.83,26.82,26819.00,,,,,,,,,6.91,0.00,13.59,6.68
31.81,-11.83,26.94,26939.00,,,,,,,,,6.91,0.00,13.59,6.68
31.81,-11.83,27.06,27059.00,,,,,,,,,6.91,0.00,13.59,6.68
31.81,-11.83,27.18,27179.00,,,,,,,,,6.91,0.00,13.59,6.68
31.81,-11.83,27.30,27299.00,,,,,,,,,,,13.59,6.68
31.80,-11.83,27.42,27419.00,,,,,,,,,,,13.59,6.68
31.80,-11.83,27.54,27539.00,,,,,,,,,,,13.59,6.68
31.80,-11.83,27.66,27659.00,,,,,,,,,20.26,0.00,13.59,6.68
31.80,-11.83,27.78,27779.00,,,,,,,,,20.26,0.00,13.59,6.68
31.80,-11.83,27.90,27899.00,,,,,,,,,20.26,0.00,13.59,6.68
31.80,-11.84,28.02,28019.00,,,,,,,,,20.26,0.00,13.59,6.68
31.80,-11.84,28.14,28139.00,,,,,,,,,20.26,0.00,13.59,6.68
31.80,-11.84,28.26,28259.00,,,,,,,,,20.26,0.00,20.26,0.00
31.80,-11.84,28.38,28379.00,,,,,,,,,20.26,0.00,20.26,0.00
31.80,-11.84,28.50,28499.00,,,,,,,,,20.26,0.00,14.95,5.31
31.80,-11.84,28.62,28619.00,,,,,,,20.26,0.00,20.26,0.00,13.27,4.41
31.79,-11.84,28.74,28739.00,,,,,,,20.26,0.00,20.26,0.00,14.19,3.83
31.79,-11.84,28.86,28859.00,,,,,,,20.26,0.00,20.26,0.00,14.19,3.83
31.79,-11.84,28.98,28979.00,,,,,,,20.26,0.00,20.26,0.00,14.19,3.83
31.79,-11.84,29.10,29099.00,20.26,0.54,0.84,0.20,2.19,2.19,20.26,0.00,20.26,0.00,14.19,3.83
