# Longitude (deg), Latitude (deg), Distance Along Fault (km), Distance Along Fault (m), Scarp Height (m), Scarp Height Std (m), Upper Slope Angle (deg), upper slope std, Lower Slope Angle (deg), lower_slope_std, Filtered Median offset (1km), filtered standard deviation (1km), Filtered Median offset (3km), filtered standard deviation (3km), Filtered Median offset (5km), filtered standard deviation (5km)
33.22,-10.86,14.94,14939.00,,,,,,,35.09,6.10,34.98,15.42,30.30,16.30
33.21,-10.86,15.06,15059.00,34.87,0.47,5.40,0.31,5.52,5.52,35.09,6.10,34.87,14.88,30.30,16.30
33.21,-10.86,15.18,15179.00,,,,,,,34.87,9.10,30.30,16.30,30.30,16.30
33.21,-10.87,15.30,15299.00,,,,,,,30.30,4.57,30.30,16.30,34.87,15.96
33.21,-10.87,15.42,15419.00,,,,,,,30.30,4.57,30.30,16.30,32.42,15.14
33.21,-10.87,15.54,15539.00,,,,,,,34.87,12.07,30.30,16.30,32.42,15.14
33.21,-10.87,15.66,15659.00,25.73,0.75,10.29,0.28,7.02,7.02,40.18,14.46,34.87,14.90,32.42,15.14
33.21,-10.87,15.78,15779.00,,,,,,,40.18,14.46,34.87,14.90,32.42,15.14
33.21,-10.87,15.90,15899.00,,,,,,,40.18,14.46,34.87,14.90,32.42,15.14
33.21,-10.87,16.02,16019.00,54.64,1.08,5.49,0.62,12.85,12.85,25.73,14.55,34.87,14.90,29.98,14.45
33.21,-10.87,16.14,16139.00,,,,,,,23.93,17.30,30.30,16.05,29.98,14.45
33.21,-10.87,16.26,16259.00,,,,,,,22.13,19.95,30.30,15.32,29.28,13.97
33.21,-10.87,16.38,16379.00,,,,,,,22.13,19.95,29.98,14.19,29.28,13.97
33.21,-10.87,16.50,16499.00,22.13,0.09,3.23,0.05,5.56,5.56,22.13,19.95,29.98,14.19,29.98,13.58
33.21,-10.88,16.62,16619.00,6.80,0.20,4.21,0.21,3.44,3.44,14.46,7.66,27.85,15.23,29.98,11.89
33.21,-10.88,16.74,16739.00,,,,,,,14.46,7.66,27.85,15.23,29.28,11.82
33.21,-10.88,16.86,16859.00,,,,,,,14.46,7.66,27.85,15.23,29.28,11.82
33.20,-10.88,16.98,16979.00,,,,,,,14.46,7.66,28.59,14.11,29.98,11.42
33.20,-10.88,17.10,17099.00,,,,,,,6.80,0.00,28.59,14.11,29.28,11.78
33.20,-10.88,17.22,17219.00,,,,,,,42.92,0.00,28.59,14.23,27.16,10.94
33.20,-10.88,17.34,17339.00,,,,,,,36.45,6.47,28.59,14.23,28.59,10.63
33.20,-10.88,17.46,17459.00,,,,,,,36.45,6.47,29.28,13.57,28.59,10.63
33.20,-10.88,17.58,17579.00,,,,,,,36.45,6.47,26.99,10.16,26.07,10.55
33.20,-10.88,17.70,17698.00,42.92,0.25,4.46,0.19,9.74,9.74,36.45,6.47,25.40,9.78,26.07,10.55
33.20,-10.88,17.82,17818.00,29.98,0.54,3.72,0.28,1.68,1.68,36.45,6.47,25.40,9.78,26.07,10.55
33.20,-10.88,17.94,17938.00,,,,,,,29.98,6.45,26.99,9.47,27.33,10.22
33.20,-10.88,18.06,18058.00,,,,,,,29.98,6.45,28.59,9.83,27.33,10.22
33.20,-10.88,18.18,18178.00,,,,,,,29.28,7.16,28.59,6.93,28.59,10.52
33.20,-10.89,18.30,18298.00,,,,,,,28.59,2.79,29.28,6.69,28.59,10.52
33.20,-10.89,18.42,18418.00,28.59,0.33,9.00,0.16,7.24,7.24,28.59,5.86,29.28,6.69,27.33,10.47
33.20,-10.89,18.54,18538.00,,,,,,,26.99,5.44,28.59,6.47,27.33,8.07
33.20,-10.89,18.66,18658.00,23.48,0.20,9.51,0.02,6.90,6.90,25.40,5.83,28.59,6.47,27.33,8.07
33.19,-10.89,18.78,18778.00,,,,,,,25.40,5.83,28.59,6.47,27.33,8.07
33.19,-10.89,18.90,18898.00,37.66,0.23,1.96,0.09,2.75,2.75,26.99,5.71,28.60,6.20,28.59,7.85
33.19,-10.89,19.02,19018.00,25.40,0.59,5.30,0.33,2.88,2.88,25.40,6.25,28.60,6.20,28.59,8.36
33.19,-10.89,19.14,19138.00,20.75,0.13,8.96,0.04,0.03,0.03,24.44,6.02,28.60,6.20,28.60,6.94
33.19,-10.89,19.26,19258.00,,,,,,,29.06,6.18,28.59,4.88,28.59,7.95
33.19,-10.89,19.38,19378.00,32.71,0.46,5.23,0.23,1.62,1.62,29.06,6.18,26.07,5.47,27.33,8.55
33.19,-10.89,19.50,19498.00,,,,,,,25.74,4.76,27.33,5.36,27.33,8.55
33.19,-10.89,19.62,19618.00,22.87,0.30,2.36,0.10,1.38,1.38,26.07,5.17,27.33,5.36,27.33,8.55
33.19,-10.89,19.74,19738.00,33.64,0.76,9.65,0.57,5.40,5.40,29.39,4.51,27.33,5.36,27.33,8.55
33.19,-10.89,19.86,19858.00,,,,,,,28.61,4.03,28.59,5.17,27.33,8.55
33.18,-10.89,19.98,19978.00,26.07,0.25,5.20,0.08,2.91,2.91,27.34,3.94,26.07,6.30,27.33,8.55
33.18,-10.89,20.10,20098.00,,,,,,,27.34,3.94,26.07,6.30,27.33,8.55
33.18,-10.89,20.22,20218.00,,,,,,,28.61,3.14,26.07,7.69,26.07,7.71
33.18,-10.90,20.34,20338.00,28.61,0.36,4.47,0.07,0.93,0.93,26.07,4.02,25.74,8.31,25.74,7.84
33.18,-10.90,20.46,20458.00,,,,,,,27.34,4.51,25.40,7.74,25.74,7.84
33.18,-10.90,20.58,20578.00,,,,,,,28.61,5.21,24.47,8.04,25.74,7.84
33.18,-10.90,20.70,20698.00,,,,,,,28.61,5.21,26.07,8.36,25.74,7.84
33.18,-10.90,20.82,20818.00,19.10,0.44,13.63,0.25,8.16,8.16,29.00,4.70,26.07,8.36,25.40,7.66
33.18,-10.90,20.94,20938.00,31.23,0.37,4.98,0.30,5.42,5.42,24.25,7.12,24.47,8.21,24.44,7.82
33.18,-10.90,21.06,21058.00,,,,,,,24.25,7.12,24.47,8.21,24.44,7.82
33.17,-10.90,21.18,21178.00,,,,,,,19.10,8.36,26.07,8.66,25.40,8.08
