# Longitude (deg), Latitude (deg), Distance Along Fault (km), Distance Along Fault (m), Scarp Height (m), Scarp Height Std (m), Upper Slope Angle (deg), upper slope std, Lower Slope Angle (deg), lower_slope_std, Filtered Median offset (1km), filtered standard deviation (1km), Filtered Median offset (3km), filtered standard deviation (3km), Filtered Median offset (5km), filtered standard deviation (5km)
32.09,-11.88,17.69,17693,,,,,,,24.65,0,20.86,10.92,29.8,11.68
32.09,-11.88,17.81,17813,,,,,,,17.03,7.62,17.06,6.22,29.8,11.68
32.09,-11.88,17.93,17933,,,,,,,17.03,7.62,20.65,6.22,27.22,12.2
32.09,-11.88,18.05,18053,,,,,,,17.06,6.22,20.65,6.22,27.22,12.2
32.09,-11.88,18.17,18173,24.65,0.68,9.99,0.09,0.83,0.83,17.06,6.22,24.24,11.11,29.8,11.61
32.09,-11.88,18.29,18293,9.42,0.2,6.8,0.12,0.56,0.56,17.06,6.22,24.45,13.01,29.8,11.61
32.09,-11.88,18.41,18412,,,,,,,17.06,6.22,24.45,13.01,29.8,11.61
32.09,-11.88,18.53,18532,17.06,0.21,4.87,0.03,0.93,0.93,17.06,6.22,24.65,12.08,34.15,11.52
32.09,-11.87,18.65,18652,,,,,,,17.06,6.22,24.65,12.08,29.49,11.27
32.09,-11.87,18.77,18772,,,,,,,13.24,3.82,24.65,12.08,29.18,11.48
32.09,-11.87,18.89,18892,,,,,,,20.65,3.59,24.65,12.08,29.18,11.48
32.09,-11.87,19.01,19012,,,,,,,20.65,3.59,24.65,12.08,29.18,11.48
32.09,-11.87,19.13,19132,,,,,,,33.57,9.33,24.65,12.08,29.18,11.48
32.09,-11.87,19.25,19252,,,,,,,42.89,9.47,24.65,12.08,29.49,11.66
32.09,-11.87,19.37,19372,24.24,0.34,6.28,0.45,4.06,4.06,42.89,9.47,24.65,12.08,29.49,11.66
32.09,-11.87,19.49,19492,,,,,,,36.35,8.86,27.22,12.17,29.18,12.78
32.09,-11.87,19.61,19612,42.89,0.25,6.43,0.25,3.43,3.43,36.35,8.86,29.18,11.48,26.92,12.4
32.09,-11.87,19.73,19732,45.5,1.46,11.87,0.63,13.04,13.04,36.35,8.86,29.49,12.05,26.92,12.4
32.09,-11.86,19.85,19852,,,,,,,36.35,8.86,29.8,9.85,26.92,12.4
32.09,-11.86,19.97,19972,29.8,0.67,15.23,0.12,5.58,5.58,42.89,6.87,29.8,9.85,26.92,12.4
32.09,-11.86,20.09,20092,,,,,,,42.89,6.87,35.59,8.05,26.92,12.4
32.09,-11.86,20.21,20212,,,,,,,37.65,7.85,41.38,7.92,26.92,12.4
32.09,-11.86,20.33,20332,,,,,,,29.8,0,41.38,7.92,29.18,12.51
32.09,-11.86,20.45,20452,,,,,,,35.59,5.79,35.59,11.81,28.46,12.06
32.09,-11.86,20.57,20572,,,,,,,35.28,6.1,29.8,11.73,27.73,11.84
32.09,-11.86,20.69,20692,,,,,,,35.28,6.1,29.8,11.73,28.46,12.21
