# Longitude (deg), Latitude (deg), Distance Along Fault (km), Distance Along Fault (m), Scarp Height (m), Scarp Height Std (m), Upper Slope Angle (deg), upper slope std, Lower Slope Angle (deg), lower_slope_std, Filtered Median offset (1km), filtered standard deviation (1km), Filtered Median offset (3km), filtered standard deviation (3km), Filtered Median offset (5km), filtered standard deviation (5km)
31.87,-11.98,11.58,11579.00,,,,,,,8.90,0.00,14.19,5.29,16.99,8.41
31.87,-11.98,11.70,11699.00,8.90,0.21,0.15,0.15,1.26,1.26,8.90,0.00,17.77,8.87,16.99,8.40
31.87,-11.98,11.82,11819.00,,,,,,,8.90,0.00,17.77,8.87,16.99,8.40
31.87,-11.98,11.94,11939.00,,,,,,,8.90,0.00,26.64,9.55,16.99,8.40
31.87,-11.98,12.06,12059.00,,,,,,,8.90,0.00,26.64,9.55,16.99,8.40
31.87,-11.98,12.18,12179.00,,,,,,,8.90,0.00,26.64,9.55,14.44,8.06
31.87,-11.98,12.30,12299.00,,,,,,,,,18.14,9.89,14.44,8.06
31.87,-11.98,12.42,12419.00,,,,,,,,,16.99,8.89,14.44,8.06
31.87,-11.98,12.54,12539.00,,,,,,,,,16.99,8.89,15.79,7.60
31.87,-11.97,12.66,12659.00,,,0.90,0.29,-0.27,-0.27,26.64,0.00,13.31,9.02,15.79,7.69
31.88,-11.97,12.78,12779.00,,,,,,,26.64,0.00,13.31,9.02,15.79,7.69
31.88,-11.97,12.90,12899.00,,,,,,,28.81,2.16,13.31,9.02,15.79,7.69
31.88,-11.97,13.02,13019.00,,,-0.63,0.11,0.40,0.40,28.81,2.16,13.31,9.02,16.39,7.54
31.88,-11.97,13.14,13139.00,26.64,0.46,0.68,0.24,1.49,1.49,28.81,2.16,11.89,8.53,16.39,7.54
31.88,-11.97,13.26,13259.00,,,3.57,0.10,-0.67,-0.67,26.64,9.21,14.44,8.64,16.39,7.54
31.88,-11.97,13.38,13379.00,30.97,0.37,1.22,0.11,2.21,2.21,21.82,8.32,14.44,8.64,16.39,7.54
31.88,-11.97,13.50,13499.00,,,,,,,21.82,8.32,15.79,8.02,16.39,7.54
31.88,-11.97,13.62,13619.00,,,,,,,16.99,9.08,16.39,7.62,16.39,7.54
31.88,-11.97,13.74,13739.00,9.63,0.25,2.88,0.09,3.74,3.74,13.31,9.06,16.39,7.62,16.39,7.54
31.88,-11.97,13.86,13859.00,16.99,0.27,-0.07,0.32,1.82,1.82,13.31,9.06,16.39,7.62,16.39,7.54
31.88,-11.97,13.98,13979.00,,,-1.33,0.23,5.62,5.62,9.63,3.90,16.99,7.38,16.39,7.54
31.89,-11.97,14.10,14099.00,8.03,0.12,5.77,0.00,6.45,6.45,10.76,3.38,16.99,7.38,16.39,7.54
31.89,-11.97,14.22,14219.00,,,-1.20,0.43,2.71,2.71,10.76,3.38,16.99,7.38,16.99,7.38
31.89,-11.97,14.34,14339.00,,,-1.05,0.10,2.17,2.17,11.89,3.67,16.99,7.38,16.99,7.38
31.89,-11.97,14.46,14459.00,,,4.18,1.10,-0.22,-0.22,11.89,3.17,16.99,7.38,16.99,7.38
31.89,-11.97,14.58,14579.00,11.89,0.35,2.42,0.07,6.29,6.29,13.84,4.86,16.99,7.38,16.99,7.38
31.89,-11.97,14.70,14699.00,,,,,,,15.79,3.81,16.39,7.17,16.99,7.38
31.89,-11.96,14.82,14819.00,,,-0.63,0.08,0.20,0.20,15.79,3.81,16.39,7.17,16.99,7.38
31.89,-11.96,14.94,14939.00,15.79,0.36,1.51,0.21,2.74,2.74,18.49,4.40,15.79,5.26,16.99,7.38
31.89,-11.96,15.06,15059.00,21.18,0.66,2.33,0.47,-0.06,-0.06,18.49,4.40,15.79,5.26,16.99,7.38
31.89,-11.96,15.18,15179.00,,,,,,,21.18,3.06,15.79,5.26,16.99,7.38
31.89,-11.96,15.30,15299.00,,,-2.67,0.10,3.65,3.65,21.18,3.06,16.39,5.12,16.99,7.38
31.90,-11.96,15.42,15419.00,23.01,0.44,4.59,0.26,3.44,3.44,21.18,3.06,15.79,5.59,16.99,7.38
31.90,-11.96,15.54,15539.00,,,-1.28,0.04,-0.50,-0.50,22.09,0.91,15.79,5.59,16.99,7.38
31.90,-11.96,15.66,15659.00,,,,,,,23.01,0.00,18.49,4.40,16.39,7.17
31.90,-11.96,15.78,15779.00,,,,,,,23.01,0.00,18.49,4.40,16.39,7.17
31.90,-11.96,15.90,15899.00,,,,,,,23.01,0.00,18.49,4.40,15.79,5.26
31.90,-11.96,16.02,16019.00,,,,,,,,,18.49,4.40,15.79,5.26
31.90,-11.96,16.14,16139.00,,,,,,,,,21.18,3.06,15.79,5.26
31.90,-11.96,16.26,16259.00,,,,,,,,,21.18,3.06,16.39,5.12
31.90,-11.96,16.38,16379.00,,,,,,,,,21.18,3.06,15.79,5.59
31.90,-11.96,16.50,16499.00,,,,,,,,,22.09,0.91,15.79,5.59
31.91,-11.96,16.62,16619.00,,,,,,,,,23.01,0.00,18.49,4.40
31.91,-11.96,16.74,16739.00,,,,,,,,,23.01,0.00,18.49,4.40
31.91,-11.95,16.86,16859.00,,,,,,,,,23.01,0.00,18.49,4.40
31.91,-11.95,16.98,16979.00,,,,,,,,,,,18.49,4.40
31.91,-11.95,17.10,17099.00,,,,,,,,,,,21.18,3.06
31.91,-11.95,17.22,17219.00,,,,,,,,,,,21.18,3.06
31.91,-11.95,17.34,17339.00,,,,,,,,,,,21.18,3.06
31.91,-11.95,17.46,17459.00,,,,,,,,,,,21.18,5.62
31.91,-11.95,17.58,17579.00,,,,,,,,,,,23.01,14.35
31.91,-11.95,17.70,17699.00,,,,,,,,,,,26.56,12.55
31.91,-11.95,17.82,17819.00,,,,,,,,,,,30.10,13.44
31.92,-11.95,17.94,17939.00,,,,,,,,,,,37.56,14.38
31.92,-11.95,18.06,18058.00,,,,,,,,,,,37.56,14.38
31.92,-11.95,18.18,18178.00,,,,,,,,,,,37.56,14.38
31.92,-11.95,18.30,18298.00,,,,,,,,,,,37.56,14.38
31.92,-11.95,18.42,18418.00,,,,,,,,,10.28,0.00,37.56,14.38
31.92,-11.95,18.54,18538.00,,,,,,,,,27.65,17.37,37.56,14.38
31.92,-11.94,18.66,18658.00,,,,,,,,,30.10,14.23,37.56,14.38
31.92,-11.94,18.78,18778.00,,,,,,,,,37.56,14.38,37.56,14.38
31.92,-11.94,18.90,18898.00,,,,,,,,,37.56,14.38,37.56,14.38
31.92,-11.94,19.02,19018.00,,,,,,,,,37.56,14.38,37.56,14.38
31.92,-11.94,19.14,19138.00,,,,,,,,,37.56,14.38,37.56,14.38
31.92,-11.94,19.26,19258.00,,,,,,,,,37.56,14.38,37.56,14.38
31.92,-11.94,19.38,19378.00,,,,,,,10.28,0.00,37.56,14.38,30.10,14.39
31.92,-11.94,19.50,19498.00,,,,,,,27.65,17.37,37.56,14.38,23.35,15.15
31.92,-11.94,19.62,19618.00,,,-0.37,0.10,-0.46,-0.46,30.10,14.23,37.56,14.38,23.35,15.15
31.92,-11.94,19.74,19738.00,,,,,,,37.56,14.38,37.56,14.38,23.35,15.15
31.92,-11.93,19.86,19858.00,10.28,0.09,1.00,0.02,2.98,2.98,37.56,14.38,37.56,14.38,30.10,14.24
31.92,-11.93,19.98,19978.00,45.01,0.58,0.24,0.18,3.41,3.41,37.56,14.38,37.56,14.38,28.89,13.32
31.92,-11.93,20.10,20098.00,30.10,1.09,13.83,0.24,0.78,0.78,37.56,14.38,37.56,14.38,30.10,12.68
31.92,-11.93,20.22,20218.00,45.58,0.47,-0.25,0.49,4.61,4.61,37.56,14.38,37.56,14.38,31.39,12.41
31.93,-11.93,20.34,20338.00,,,,,,,37.56,14.38,30.10,14.39,30.10,12.16
31.93,-11.93,20.46,20458.00,,,,,,,45.01,7.16,23.35,15.15,30.10,12.16
31.93,-11.93,20.58,20578.00,,,,,,,37.84,7.74,23.35,15.15,30.10,12.16
31.93,-11.93,20.70,20698.00,,,,,,,45.58,0.00,23.35,15.15,30.10,12.16
31.93,-11.93,20.82,20818.00,,,,,,,,,30.10,14.24,30.10,12.16
31.93,-11.93,20.94,20938.00,,,,,,,,,28.89,13.32,30.10,12.16
31.93,-11.92,21.06,21058.00,,,,,,,,,30.10,12.68,30.10,12.16
31.93,-11.92,21.18,21178.00,,,,,,,,,31.39,12.41,30.10,12.16
31.93,-11.92,21.30,21298.00,,,,,,,16.60,0.00,30.10,12.16,30.10,12.16
31.93,-11.92,21.42,21418.00,,,,,,,12.93,3.67,31.39,11.33,30.10,12.16
31.93,-11.92,21.54,21538.00,,,,,,,12.93,3.67,30.10,10.66,31.39,13.02
31.93,-11.92,21.66,21658.00,,,,,,,12.93,3.67,30.17,11.28,32.68,14.95
31.93,-11.92,21.78,21778.00,16.60,0.27,0.85,0.17,0.77,0.77,16.60,9.99,27.67,9.68,32.68,14.95
31.93,-11.92,21.90,21898.00,9.26,0.13,1.84,0.19,1.41,1.41,22.14,9.32,27.67,9.68,32.68,14.95
31.93,-11.92,22.02,22018.00,,,,,,,27.67,9.43,27.67,9.68,31.39,14.67
31.93,-11.92,22.14,22138.00,,,,,,,30.17,10.09,27.67,9.68,31.39,14.67
31.94,-11.92,22.26,22258.00,33.16,0.41,0.01,0.34,2.77,2.77,27.67,9.68,27.67,9.68,31.39,14.67
31.94,-11.92,22.38,22378.00,27.67,0.11,3.58,0.04,6.65,6.65,30.17,9.74,27.67,9.68,32.68,13.97
31.94,-11.91,22.50,22498.00,32.68,0.28,7.19,0.27,1.97,1.97,32.68,6.43,30.17,12.00,30.10,13.92
